chunk_id,start,end,text,embedding_index
203,2860.39,2872.65,"instead of using a buffer inside H, we have just found a buffer inside J.  And we can use the same strategy. We can jump all the tokens here, starting of course by the yellow",203
204,2872.65,2888.8700000000003,token and then jump them to where they need to go. So now combining those two,204
205,2888.8700000000003,2903.51,"observations together, if you will, we get the following theorem. So if H is alpha sparse and  J is C3, C4, free, then the problem admits a kernel on this maneuver to C's. And it's basically",205
206,2903.51,2916.25,"a simple application of the previous two lemmas. If we have more than this maneuver to C's in H,  it's a trivial yes instance. If J has a vertex of degree 3K or more, it's trivial yes instance.",206
207,2916.25,2927.67,"And now you combine all of this together. We know that S union T is of size at most two K.  We know that the neighborhood of S union T is of size at most two K times three K, which is roughly",207
208,2927.67,2945.59,"six K squared. And now we know that the rest of the graph has at most that many vertices.  So basically, you sum up those numbers and you get this bound.",208
209,2945.59,2963.11,All right. So how does this theorem imply the result that I promised you to start with?  So that token jumping and token sliding admit kernel with order K squared C's.,209
210,2963.11,2977.41,"I mean, I mean, it also holds for bipartite C for free graphs, right? Obviously because they are  C3C for free. So how do you get the kernel? Well, we know that J cannot contain more than six K squared",210
211,2977.41,2987.53,minus two K vertices. And we know from a not a theorem from another paper that C3 free graphs,211
212,2987.53,3000.75,"with K squared over log K vertices must have an independent set of size at least K.  And now we know that if H contains more than this many vertices, then we will get a yes instance as well.",212
213,3000.75,3011.61,"Right. So so it becomes an immediate consequence of the previous theorem, but the previous  theorem is even more general than this corollary. So this corollary does not really use the full",213
214,3011.61,3029.69,"power of this theorem. All right. That's it. I think I'm fine. If you have questions, I will take them now.",214
215,3029.69,3046.91,"So it was 55 minutes, right? For the talk. I did not go under the talk. It's fine. We usually allow plus  minus 10 minutes. That's all right. So I have a question about token sliding. Yes.",215
216,3046.91,3062.29,So how crucial what happens if one does not restrict the independent sets during the configuration  to be not of the same size? Is that is that very critical for the difficulty or the easiness of the,216
217,3062.29,3075.61,"problem? Well, you have to be careful how you define that because in token sliding,  sliding tokens cannot leave the graph. That's correct, but the independent set sequence,",217
218,3075.61,3089.29,"all the independent sets have to be the same size, right? Well, if not some token disappeared at  some point, and I'm not sure how it disappeared. Right, because you start with something of size K,",218
219,3089.29,3104.07,"and you're going to something of size K, you cannot leave the graph unless you define it in some way.  So you will remain of size K throughout. But you can become slightly larger in K.",219
220,3104.07,3121.09,"But where does the new token come from? So there is a third rule that I did not tell you about,  which is called token addition and removal. Under that rule, we actually allow you to remove vertices",220
221,3121.09,3140.53,"and advertises as long as you remain an independent set of size at least K.  Does that answer your question? Yeah, yeah, yeah, yeah. But in fact, it was shown that it was shown that",221
222,3140.53,3160.87,"so addition and removal is equivalent to token jumping. It doesn't, it never makes sense to add more  tokens to your graph if you don't need them. You're only making your life harder into it if he's speaking.",222
223,3160.87,3178.87,"So the other question that I had is, I mean, I heard, I, so is it possible to view this whole  problem on an exponential size graph where every vertex corresponds to an independent set in the",223
224,3178.87,3192.89,"original graph? And then you have edges between two vertices, if there is an edge between two vertices  of the independent set. And now you are doing a reachability question. Is that a meaningful way to",224
225,3192.89,3205.03,"think about this? But that's exactly what we're doing. But, but, so the way you define your adjacency,  I think, so you mean you define, you make two independent sets adjacent if one can be reached from",225
226,3205.03,3215.59,"the other via a single slide or a single joint. Exactly, yeah, one edge here. There is one pair,  you and V, which is adjacent. But that's, but that's exactly what we're doing. Okay, okay, yeah.",226
227,3215.59,3228.63,"Right? I mean, if you, because we're looking at algorithms here, we kind of forget the structural  picture behind it. But this algorithm is finding a path in this graph that you're describing.",227
228,3228.63,3253.99,"Yeah, yeah, that's it. And what we're saying is you can do it in FBT time or not, depending on the  problem we're talking about. Hi, Amir. Hi. Hi. Hi. Hi. Hi. Yeah, I'm good. So I had a question. So,",228
229,3253.99,3271.39,"do problems remain equally hard if we bound the, if we have a restriction on the number of times,  we can move the token to a particular vertex. The number of times you can move a token to a particular",229
230,3271.39,3284.63,"vertex. Like, a number of times the tokens can be moved to a vertex.  Well, that's definitely going to change the complexity in, at least intuitively speaking,",230
231,3284.63,3295.63,"right? Because now you're saying maybe it will, if you're bounding that by a constant,  then you might be saying that I'm not allowing exponentially large sequences anymore.",231
232,3295.63,3310.03,"But in terms of exactly how the complexity changes, I don't have answers. I think it's a very nice  question to pose. Even in terms of a non-parameterized complexity standard complexity, I think that",232
233,3310.03,3323.97,"that would be a very interesting question, because it will definitely affect the behavior.  I'm not sure exactly how yet. I don't know of any results that ask this particular question.",233
234,3323.97,3337.97,"Okay, so I had one more question in the W happiness result that you presented. So,  do you know what is the length of the, the length of the changes? Actually, the number of changes",234
235,3337.97,3353.33,"or flips that you make in your independence it? This is just, yes, yes, yes, we do. So, here the number of  changes is going to be where it's basically going to be the shortest possible sequence.",235
236,3353.33,3368.21,"So it's going to, it's basically going to be, so if you think about the simple construction,  this one, it's basically literally going to be, these guys are going to move here.",236
237,3368.21,3381.15,"So, each is going to cost me one slide and then they're all going to, and now this guy is going  to move here and now I will pay one slide for each one here. Now, this is the simplified version of",237
238,3381.15,3396.39,"it. Once you go to the complete version of it, you have some extra slides within the path,  but you can also count those. Okay, so, but does this mean that, so does this mean that at a particular",238
239,3396.39,3411.85,"vertex we are placing the token at most ones? In this case, yes. Okay. In this case, yes.  Okay, so this problem should be hard even if we bound the number of times tokens can be moved",239
240,3411.85,3424.15,"to a vertex, right? Yes. Okay. Yes. So, so here in this case, yes. Absolutely. Okay, thanks.",240
241,3424.15,3441.79,"So, Akansha, I have a remark about your question. So, if a vertex, if a vertex cannot get a token to  a vertex, then it somehow seems to be selecting disjoint independent sets, a sequence of them,",241
242,3441.79,3455.79,"and that may have some bearing on coloring, just a top level.  So, actually for the list, the W hardness case that I am going to present it, it is exactly the",242
243,3455.79,3469.93,"case, right? So, we are not allowed to move the token like twice on the same vertex.  Yeah. So, I didn't get your point of meaning, so getting this disjoint independence, it's actually",243
244,3469.93,3480.29,"because if you say, if you think of it from my, the way I thought about it, right, that you are actually  trying to find a path in a large graph where every vertex corresponds to an independent set,",244
245,3480.29,3498.83,"and you move from one independent set to another. So, we can only move from one independent set to the  other if the, the changes is like in case of tokens sliding, it's one probably. Yeah, I got it.",245
246,3498.83,3509.39,"So, it looks to be that you are asking for a collection of independent sets which are vertex",246
247,3509.39,3521.33,"disjoint. If the token sequence of independence is which of vertex disjoint.  Yeah. So, if I may, I think, I think, yeah, a conscious question would be more relevant in a place",247
248,3521.33,3533.27,"where we don't have a monotone sequence, meaning a sequence. So, we need a version of the problem,  or some cases of the problem where a vertex has to be visited multiple times",248
249,3533.27,3544.05,"to find solutions, and that is known to be the case for some versions or some statements of  the problem. And, and in fact, the conscious also, this is also, this was the crucial difference",249
250,3544.05,3557.35,"between piece-based completeness and NP completeness of sliding versus jumping in bipartite graphs.  So, it was because we were able to show that no vertex will be visited more than once.",250
251,3557.35,3574.61,"Okay. And the other problem. So, so, so, that's why it's, it's definitely an interesting question  to pose, but you have to be careful in what context you pose it.  Great. I don't know if that kind of settles, answers your question.",251
252,3574.61,3586.79,"Yes, yes, it does. All right. Thanks. You're welcome.",252
253,3586.79,3618.65,Any more questions?,253
254,3618.65,3632.81,I guess not.  I don't think that any more questions. I will just once again announce the parameterized  and go to them 301 workshop which is going to happen in December in the link has been posted,254
255,3632.81,3646.65,"once again in the chat. Some advanced topics in parameterized complexity will be discussed.  Those interested can have a look and register for it. And yeah, if there are some more questions,",255
256,3646.65,3672.35,please ask away.,256
257,3672.35,3686.85,"So anyone can register for the  or whether school. Yes, he is anyone can. Yeah, it's free and it's online and yeah, it's open to",257
258,3686.85,3697.13,"everyone. Awesome. So I can share it with my students as well. Of course, of course, please,  do that. That will be good. And we have zoomed some basic understanding of parameterized algorithms.",258
259,3697.13,3717.31,But we have already shared a link on the page where students can go and go through some previous  lectures in parameterized algorithms if they wish to just brace up or revise stuff.,259
260,3717.31,3732.21,"All right, so I guess, okay, I don't think there are any more questions. So I think it's a good  time to wrap up. So thank you once in a professional summit or for agreeing to give the talk. It was",260
261,3732.21,3742.55,"really nice to have you and it was really good to have something different than what we usually hear  in every parameterized complexity talk at least most of them. So and yeah, these are really",261
262,3742.55,3754.71,"interesting problems to think of one. And thank you to the audience for being with us.  And that's it for today's wrap up. See you all next week. Thank you. Bye. Thank you, bye.",262
